citekey,citation_occurrences,title,year,doi,url,metadata_status,provenance
acosta2022multimodal,2,Multimodal biomedical AI,2022,10.1038/s41591-022-01981-2,https://www.nature.com/articles/s41591-022-01981-2,verified_crossref,archived_library
AdansDester2020PrecisionRehabilitation,1,Enabling precision rehabilitation interventions using wearable sensors and machine learning to track motor recovery,2020,10.1038/s41746-020-00328-w,https://doi.org/10.1038/s41746-020-00328-w,verified_crossref,archived_library
ahn2012roboticpalpation,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
angello2022optimization,2,Closed-loop optimization of general reaction conditions for heteroaryl Suzuki–Miyaura coupling,2022,10.1126/science.adc8743,https://www.science.org/doi/10.1126/science.adc8743,verified_crossref,archived_library
Araci2014ImplantableIOP,1,An implantable microfluidic device for self-monitoring of intraocular pressure,2014,10.1038/nm.3621,https://doi.org/10.1038/nm.3621,verified_crossref,archived_library
bi2024swabrobot,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
bietz2016personalhealth,1,Opportunities and challenges in the use of personal health data for health research,2016,10.1093/jamia/ocv118,https://academic.oup.com/jamia/article/23/e1/e42/2379811,verified_crossref,archived_library
brown2019closedloop,2,"Six-month randomized, multicenter trial of closed-loop control in type 1 diabetes",2019,10.1056/nejmoa1907863,https://www.nejm.org/doi/full/10.1056/NEJMoa1907863,verified_crossref,archived_library
brown2023labautomation,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
burger2020chemist,2,A mobile robotic chemist,2020,10.1038/s41586-020-2442-2,https://www.nature.com/articles/s41586-020-2442-2,verified_crossref,archived_library
chen2012ipop,1,Personal omics profiling reveals dynamic molecular and medical phenotypes,2012,10.1016/j.cell.2012.02.009,https://www.cell.com/fulltext/S0092-8674\%2812\%2900166-3,verified_crossref,archived_library
chen2023fairness,1,Algorithm fairness in artificial intelligence for medicine and healthcare,2023,10.1038/s41551-023-01056-8,https://www.nature.com/articles/s41551-023-01056-8,verified_crossref,archived_library
chen2023swabrobot,1,,,,,verified_doi_content_negotiation,targeted_primary_evidence
chen2024workload,1,Impact of human and artificial intelligence collaboration on workload reduction in medical image interpretation,2024,10.1038/s41746-024-01328-w,https://www.nature.com/articles/s41746-024-01328-w,verified_crossref,archived_library
