title,year,publication_date,doi,pmid,url,venue,cited_by_count,primary_task,task_en,task_zh,evidence_tier,source_dbs,source_ids
Advances in ultrasound: from microscanning to telerobotics.,2000,2000-11-01,10.1259/bjr.73.875.11144789,,https://doi.org/10.1259/bjr.73.875.11144789,British Journal of Radiology,10,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W2041275358
Noninvasive bioelectrical neuromonitoring in anaesthesia and critical care,2001,2001-12-01,10.1046/j.1365-2346.2001.01028.x,,https://doi.org/10.1046/j.1365-2346.2001.01028.x,European Journal of Anaesthesiology,6,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4229755006; W2116807829
Robot-assisted 3D-TRUS guided prostate brachytherapy: System integration and validation,2004,2004-02-06,10.1118/1.1645680,,https://doi.org/10.1118/1.1645680,Medical Physics,186,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W2089919971
A tele-operated mobile ultrasound scanner using a light-weight robot,2005,2005-03-01,10.1109/titb.2004.840062,,https://doi.org/10.1109/titb.2004.840062,IEEE Transactions on Information Technology in Biomedicine,123,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W2157998325
Robotically assisted ultrasound imaged guided interstitial lung brachytherapy in a porcine model,2005,2005-05-01,10.1016/j.ics.2005.03.136,,https://doi.org/10.1016/j.ics.2005.03.136,International Congress Series,1,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex,W1971887668
Performance analysis of a mobile robotic tele-ultrasonography system over 2.5G/3G communication networks,2006,2006-01-01,,,https://openalex.org/W91991974,,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex; Europe PMC,W91991974; ETH:555044
A-mode ultrasound-based intra-femoral bone cement detection and 3D reconstruction in RTHR,2007,2007-01-01,10.3109/10929080701336132,,https://doi.org/10.3109/10929080701336132,Computer Aided Surgery,7,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W4241919086; W2055867877
Dynamic morphometric characterization of local connective tissue network structure in humans using ultrasound,2007,2007-06-05,10.1186/1752-0509-1-25,,https://doi.org/10.1186/1752-0509-1-25,BMC Systems Biology,33,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W2082183851
Human Joint Motion Recognition Using Ultrasound Pulse Echo Based on Test Feature Classifier,2009,2009-10-20,10.20965/jrm.2009.p0597,,https://doi.org/10.20965/jrm.2009.p0597,Journal of Robotics and Mechatronics,0,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Expanded (abstract-supported),OpenAlex,W2571999148
Hybrid Laparoscopic and Robotic Ultrasound-guided Radiofrequency Ablation-assisted Clampless Partial Nephrectomy,2009,2009-05-10,10.1016/j.urology.2008.08.498,19428068.0,https://doi.org/10.1016/j.urology.2008.08.498,Urology,28,A1,Robotic ultrasound / sonography,机器人超声/超声扫查,Core (title-explicit),OpenAlex; Europe PMC,W2012763872; MED:19428068
